User,Time,CPU,RAM
jerry,Nov 02 15:38:17,475,4.208
jerry,Nov 02 15:38:19,429.3,4.203
jerry,Nov 02 15:38:20,433.6,4.165
jerry,Nov 02 15:38:21,500.1,4.168
jerry,Nov 02 15:38:22,405.6,4.165
jerry,Nov 02 15:38:24,389.1,4.161
jerry,Nov 02 15:38:25,475,4.164
jerry,Nov 02 15:38:26,421.2,4.162
jerry,Nov 02 15:38:28,500.1,4.162
jerry,Nov 02 15:38:29,447.2,4.162
frank,Nov 02 15:38:17,215,2.008
frank,Nov 02 15:38:19,239.3,2.903
frank,Nov 02 15:38:20,253.6,2.565
frank,Nov 02 15:38:21,203.1,2.668
frank,Nov 02 15:38:22,225.6,2.265
frank,Nov 02 15:38:24,289.1,3.161
frank,Nov 02 15:38:25,235,3.264
frank,Nov 02 15:38:26,321.2,3.162
frank,Nov 02 15:38:28,380.1,3.162
frank,Nov 02 15:38:29,377.2,3.162